Id,Name,Gender,Job,House,Wand,Patronus,Species,Blood status,Hair colour,Eye colour,Loyalty,Skills
64,Marcus Flint,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Black,,,Chaser
65,Penelope Clearwater,Female,Student,Ravenclaw,Unknown,Non-corporeal,Human,Muggle-born or half-blood[,Blonde,,,Prefect
66,Roger Davies,Male,Student,Ravenclaw,Unknown,Unknown,Human,,Dark,Dark,,Quidditch Captain
67,Marcus Belby,Male,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Dark,,
68,Salazar Slytherin,Male,Founder of Slytherin,Slytherin,snakewood,,,,,,,
69,Godric Gryffindor,Male,Founder of Gryffindor,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Red,Green,,The most accomplished duellist of his time
70,Rowena Ravenclaw,Female,Founder of Ravenclaw,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,Black,Dark,,Extremely skilled witch
71,Nicholas de Mimsy-Porpington,Male,Gryffindor House Ghost,Gryffindor,Unknown,Unknown,Ghost,,Grey,,,
72,Cuthbert Binns,Male,Professor of History of Magic ,,Unknown,Unknown,Ghost,,White (balding),Black,,Boring a class with facts that might be interesting if anyone else was giving the lesson
73,Barty Crouch Jr.,Male,Professor of Defence Against the Dark Arts (as Alastor Moody) ,,Unknown,Unknown,Human,Pure-blood or half-blood,Straw blond,Pale,,
74,Charity Burbage,Female,Professor of Muggle Studies,,Unknown,Non-corporeal,Human,Pure-blood or half-blood,Blonde,,,Teaching and studying the Muggle world
75,Firenze,Male,Professor of Divination,,,,Centaur,,White-blond,Astonishingly blue,,
76,Alecto Carrow,Female,Professor of Muggle Studies,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,,,Lord Voldemort  | Death Eaters,Spreading anti-Muggle propaganda
77,Amycus Carrow,Male,Professor of Dark Arts,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,,,Lord Voldemort  | Death Eaters,Cruciatus Curse
78,Helga Hufflepuff,Female,Founder of Hufflepuff,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Blue,,Food-related Charms. Many traditional Hogwarts recipes originated with her
79,Fat Friar,Male,Hufflepuff House Ghost,Hufflepuff,Unknown,Unknown,Ghost,,Brown,,,Curing peasants of the pox
80,Helena Ravenclaw,Female,Ravenclaw House Ghost,Ravenclaw,Unknown,Unknown,Ghost,Pure-blood or half-blood,Black,Grey,,
81,Nymphadora Tonks,Female,Auror,Hufflepuff,Unknown,Jack rabbit,,,,,,
82,Pomona Sprout,Female,Professor of Herbology | Head of Hufflepuff House,Hufflepuff,Unknown,Non-corporeal,Human,Pure-blood or half-blood,,Grey,,Herbology
83,Newton Scamander,Male,Employee in the Beast Division of the Department for the Regulation and Control of Magical Creatures,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Red brown,Blue,,Magizoology
84,Cedric Diggory,Male,Student,Hufflepuff,"12¼""",,,,,,,
85,Justin Finch-Fletchley,Male,Student,Hufflepuff,Unknown,Non-corporeal,Human,Muggle-born,Red,,Dumbledore's Army,
86,Zacharias Smith,Male,Student,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Blonde,,Dumbledore's Army,Chaser
87,Hannah Abbott,Female,Student,Hufflepuff,Unknown,Non-corporeal,Human,Half-blood,Blonde,Brown,Dumbledore's Army,Defensive spells
88,Ernest Macmillan,Male,Student,Hufflepuff,Unknown,Boar,Human,Pure-blood,Blond,,Dumbledore's Army,Revising
89,Susan Bones,Female,Student,Hufflepuff,Unknown,Unknown,Human,Half-blood,,,Dumbledore's Army,Defensive spells
90,Walden Macnair,Male,Executioner for the Committee for the Disposal of Dangerous Creatures,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Black,,Lord Voldemort  | Death Eaters,Liaising with giants
91,Augustus Rookwood,Male,Unspeakable,Slytherin,Unknown,None,Human,Pure-blood or half-blood,Brown/greying,,Lord Voldemort  | Death Eaters,Spying for Lord Voldemort
92,Antonin Dolohov,Male,Death Eater,Slytherin,Unknown,None,Human,Pure-blood or Half-blood,Dark,,Lord Voldemort  | Death Eaters,Duelling. Fought and killed Molly Weasley's brothers and Remus Lupin
93,Corban Yaxley,Male,Head of the Department of Magical Law Enforcement,Slytherin,Unknown,None,Human,Pure-blood or Half-blood,Blonde,Blue,Lord Voldemort  | Death Eaters,Imperius curse
94,Igor Karkaroff,Male,Headmaster of Durmstrang Institute,,Unknown,None,Human,Pure-blood or Half-blood,Silver| formerly black,,,Skilled in the Dark Arts
95,Kingsley Shacklebolt,Male,Auror  | Minister for Magic,,Unknown,Lynx,Human,Pure-blood,Bald,Black,Order of the Phoenix,Exceptionally skilled duellist and Auror
96,Alastor Moody,Male,Auror ,,Unknown,Non-corporeal,Human,Pure-blood,Grey,One dark,,
97,Alice Longbottom,Female,Auror,,Unknown,Unknown,Human,Pure-blood,Blonde,,Original Order of the Phoenix,Auror
98,Frank Longbottom,Male,Auror,Gryffindor,Inherited by his son,,,,,,,
99,Rufus Scrimgeour,Male,Head of Auror Office| Minister for Magic,,Unknown,Non-corporeal,Human,,Tawny,Yellowish,Minister of Magic,Highly regarded as a skilled Auror
100,Cornelius Oswald Fudge,Male,Minister for Magic,,Unknown,Non-corporeal,Human,Pure-blood or Half-blood,Grey,,Minister of Magic,Turning a blind eye to the continuing threat of Dark Magic in the name of keeping up morale
101,Barty Crouch Sr.,Male,Head of the Department of International Magical Cooperation,,Unknown,Non-corporeal,Human,Pure-blood,Grey,,Minister of Magic,Multilingual
102,Amos Diggory,Male,Employee of the Department for the Regulation and Control of Magical Creatures[,,Unknown,Non-corporeal,Human,Pure-blood or half-blood,Brown,Ruddy,Minister of Magic,Works for the Department for the Regulation and Control of Magical Creatures
103,Dedalus Diggle,Male,,,Unknown,Non-corporeal,Human,Pure-blood or half-blood,,,Order of the Phoenix,An enthusiastic volunteer for the Order and a helpful escort for Harry and his relatives
104,Elphias Doge,Male,Special Advisor to the Wizengamot,,Unknown,Non-corporeal,Human,Pure-blood,Silver,Grey/Blue[,Order of the Phoenix,Writing
105,Fleur Isabelle Delacour,Female,Part-time at Gringotts Wizarding Bank,Beauxbatons Academy of Magic,"9½""",,,,,,,
106,Aberforth Dumbledore,Male,Owner and Barman of the Hog's Head Inn,,Unknown,Goat,Human,Half-blood,Grey,Bright Blue,Order of the Phoenix,Bartending
107,Mundungus Fletcher,Male,Dealer of wizarding artifacts,,Unknown,Non-corporeal,Human,Half-blood[,Ginger,Brown,Order of the Phoenix,Gathering information for the Order
108,Sturgis Podmore,Male,Advance Guard,,Unknown,Unknown,Human,Pure-blood or half-blood,Straw-coloured,Brown,Order of the Phoenix,Carrying out guard duty for the Order
109,Hestia Jones,Female,Advance Guard,,Unknown,Unknown,Human,Pure-blood or half-blood,Black,,Order of the Phoenix,Carrying out escort missions for the Order
110,Marlene McKinnon,Female,,,Unknown,Unknown,Human,,Red,Brown,Original Order of the Phoenix,
111,Fabian Prewett,Male,,,Unknown,Unknown,Human,Pure-blood,Red,Grey,Original Order of the Phoenix,Duelling
112,Gideon Prewett,Male,,,Unknown,Unknown,Human,Pure-blood,Red ,Dark Grey,Original Order of the Phoenix,Duelling
113,Emmeline Vance,Female,Advance Guard,,Unknown,Unknown,Human,,,,Order of the Phoenix,
114,Edgar Bones,Male,,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Reddish-brown,Grey,Original Order of the Phoenix,Said to be a great wizard
115,Dorcas Meadowes,Female,,,Unknown,Unknown,Human,,Black,Brown,Original Order of the Phoenix,
116,Benjy Fenwick,Male,,,Unknown,Unknown,Human,,Black,Black,Original Order of the Phoenix,
117,Madame Olympe Maxime,Female,Headmistress of Beauxbatons Academy of Magic,Beauxbatons Academy of Magic,Unknown,Unknown,Half-Human/Half-Giant,Part-Human (Half-giant),Brown,Black,,An ‘excellent dancer’
118,Gabrielle Delacour,Female,,Beauxbatons Academy of Magic,Unknown,Unknown,Human ,Quarter-Veela,Silvery-blonde,,,part Veela and therefore may possess some of their magical powers
119,Viktor Krum,Male,Seeker for the Bulgarian National Quidditch team,Durmstrang Institute,"10¼""",,,,,,,
120,Petunia Dursley,Female,,,,,Human ,Muggle,Blonde,,,
121,Vernon Dursley,Male,Director at Grunnings,,,,Human ,Muggle,Black,,,Schmoozing clients
122,Dudley Dursley,Male,,,,,Human ,Muggle,Blond,Blue,,
123,Marge Dursley,Female,Dog breeder,,,,Human ,Muggle,Grey,,,Breeding bulldogs
124,Dennis Creevey,Male,Student,Gryffindor,Unknown,Unknown,Human ,Muggle-born,Mousy brown,,Dumbledore's Army,
125,Albus Severus Potter,Male,Student,Slytherin,Unknown,Unknown,Human ,Half-blood,Jet-black,Bright green,,
126,Scorpius Hyperion Malfoy,Male,Student,Slytherin,Unknown,Unknown,Human ,Pure-blood,White blond,Grey,,
127,Edward Remus Lupin,Male,Student,Hufflepuff,Unknown,Unknown,Human (Metamorphmagus),Half-blood,Variable,Variable,,
128,James Sirius Potter,Male,Student,Gryffindor,Unknown,Unknown,Human ,Half-blood,,,,
129,Rose Granger-Weasley,Female,Student,Gryffindor,Unknown,Unknown,Human ,Half-blood,Red,,,Chaser
130,Argus Filch,Male,Caretaker of Hogwarts,,,,Human ,Squib,Grey,Pale,Hogwarts School of Witchcraft and Wizardry,Sniffing out mischief
131,Poppy Pomfrey,Female,Matron at Hogwarts School,,Unknown,Non-corporeal,Human ,Pure-blood or half-blood,,,Hogwarts School of Witchcraft and Wizardry,Skilled medical healer
132,Rolanda Hooch,Female,Flying Instructor at Hogwarts,,Unknown,Non-corporeal,Human ,,Grey,Yellow,Hogwarts School of Witchcraft and Wizardry,Teaching
133,Irma Pince,Female,Librarian at Hogwarts,,Unknown,Non-corporeal,Human ,,,,Hogwarts School of Witchcraft and Wizardry,
134,Aurora Sinistra,Female,Astronomer at Hogwarts,,Unknown,Unknown,Human ,Pure-blood or half-blood,Dark,Dark,Hogwarts School of Witchcraft and Wizardry,
135,Septima Vector,Female,Professor of Arithmancyat Hogwarts,,Unknown,Unknown,Human ,,Black,,Hogwarts School of Witchcraft and Wizardry,
136,Wilhelmina Grubbly-Plank,Female,Substitute professor of Care of Magical Creatures at Hogwarts,,Unknown,Non-corporeal,Human ,,Grey,,Hogwarts School of Witchcraft and Wizardry,
137,Fenrir Greyback,Male,,,Unknown,None,Werewolf,,Grey,,Lord Voldemort  | Death Eaters,Physical combat
138,Gellert Grindelwald,Male,Revolutionary leader(c. 1920s[6] – 1945),,"15""",,,,,,,
139,Dobby,Male,Malfoy family's house-elf (? - 1993),,,,,,,,,
"Hogwarts kitchens worker (December 1994 - 1998)""",,,,House elf,,Green,,,A type of magic specific to house-elves,,,
140,Kreacher,Male,,,,,,,,,,
Black family's house-elf (?-1996),,,,,,,,,,,,
Harry Potter's house-elf,,,,,,,,,,,,
"Hogwarts kitchen worker """,,,,House elf,,White,,,Magic performed without a wand which includes the ability to apparate,,,
